Name,Date,Price
PDR,15/12/2021,68.97 
PDR,14/12/2021,67.87 
PDR,13/12/2021,72.12 
PDR,10/12/2021,72.42 
PDR,09/12/2021,72.49 
PDR,08/12/2021,72.34 
PDR,07/12/2021,71.76 
PDR,06/12/2021,70.14 
PDR,03/12/2021,69.63 
PDR,02/12/2021,69.55 
PDR,01/12/2021,68.23 
PDR,30/11/2021,68.67 
PDR,29/11/2021,68.97 
PDR,26/11/2021,70.29 
PDR,25/11/2021,69.11 
PDR,24/11/2021,66.33 
PDR,23/11/2021,66.55 
PDR,22/11/2021,66.69 
PDR,19/11/2021,66.55 
PDR,18/11/2021,65.74 
PDR,17/11/2021,66.03 
PDR,16/11/2021,66.40 
PDR,15/11/2021,66.77 
PDR,12/11/2021,67.06 
PDR,11/11/2021,67.43 
PDR,10/11/2021,65.45 
PDR,09/11/2021,67.72 
PDR,08/11/2021,68.31 
PDR,05/11/2021,69.63 
PDR,04/11/2021,68.75 
PDR,03/11/2021,68.60 
PDR,02/11/2021,69.92 
PDR,01/11/2021,68.31 
PDR,29/10/2021,70.44 
PDR,28/10/2021,69.92 
PDR,27/10/2021,71.24 
PDR,26/10/2021,70.66 
PDR,25/10/2021,71.90 
PDR,22/10/2021,72.64 
PDR,21/10/2021,70.95 
PDR,20/10/2021,70.73 
PDR,19/10/2021,68.60 
PDR,18/10/2021,68.97 
PDR,15/10/2021,66.99 
PDR,14/10/2021,68.23 
PDR,13/10/2021,66.47 
PDR,12/10/2021,64.93 
PDR,11/10/2021,65.15 
PDR,08/10/2021,63.83 
PDR,07/10/2021,62.66 
PDR,06/10/2021,61.85 
PDR,05/10/2021,61.63 
PDR,04/10/2021,62.58 
PDR,01/10/2021,61.63 
PDR,30/09/2021,60.02 
PDR,29/09/2021,59.58 
PDR,28/09/2021,59.65 
PDR,27/09/2021,58.92 
PDR,24/09/2021,58.92 
PDR,23/09/2021,59.14 
PDR,22/09/2021,59.43 
PDR,21/09/2021,59.87 
PDR,20/09/2021,60.82 
PDR,17/09/2021,58.70 
PDR,16/09/2021,60.02 
PDR,15/09/2021,59.94 
PDR,14/09/2021,59.06 
PDR,13/09/2021,59.06 
PDR,10/09/2021,60.38 
PDR,09/09/2021,60.46 
PDR,08/09/2021,61.78 
PDR,07/09/2021,60.90 
PDR,06/09/2021,63.10 
PDR,01/09/2021,62.88 
PDR,31/08/2021,64.49 
PDR,30/08/2021,62.73 
PDR,27/08/2021,62.36 
PDR,26/08/2021,61.26 
PDR,25/08/2021,63.69 
PDR,24/08/2021,63.10 
PDR,23/08/2021,60.31 
PDR,20/08/2021,62.44 
PDR,19/08/2021,64.79 
PDR,18/08/2021,65.30 
PDR,17/08/2021,66.91 
PDR,16/08/2021,67.28 
PDR,13/08/2021,67.21 
PDR,12/08/2021,67.87 
PDR,11/08/2021,68.16 
PDR,10/08/2021,68.16 
PDR,09/08/2021,68.67 
PDR,06/08/2021,68.60 
PDR,05/08/2021,68.82 
PDR,04/08/2021,68.75 
PDR,03/08/2021,68.89 
PDR,02/08/2021,68.67 
PDR,30/07/2021,67.87 
PDR,29/07/2021,66.69 
PDR,28/07/2021,66.69 
PDR,27/07/2021,65.89 
PDR,26/07/2021,66.40 
PDR,23/07/2021,65.01 
PDR,22/07/2021,66.11 
PDR,21/07/2021,64.86 
PDR,20/07/2021,65.96 
PDR,19/07/2021,64.42 
PDR,16/07/2021,66.18 
PDR,15/07/2021,63.98 
PDR,14/07/2021,64.20 
PDR,13/07/2021,63.83 
PDR,12/07/2021,66.69 
PDR,09/07/2021,69.26 
PDR,08/07/2021,69.48 
PDR,07/07/2021,70.58 
PDR,06/07/2021,69.26 
PDR,05/07/2021,69.70 
PDR,02/07/2021,70.36 
PDR,01/07/2021,70.36 
PDR,30/06/2021,68.53 
PDR,29/06/2021,70.36 
PDR,28/06/2021,69.41 
PDR,25/06/2021,69.70 
PDR,24/06/2021,65.30 
PDR,23/06/2021,63.17 
PDR,22/06/2021,64.86 
PDR,21/06/2021,66.40 
PDR,18/06/2021,67.57 
PDR,17/06/2021,67.28 
PDR,16/06/2021,67.50 
PDR,15/06/2021,67.87 
PDR,14/06/2021,67.06 
PDR,11/06/2021,64.13 
PDR,10/06/2021,61.04 
PDR,09/06/2021,60.31 
PDR,08/06/2021,60.38 
PDR,07/06/2021,61.12 
PDR,04/06/2021,60.02 
PDR,03/06/2021,57.45 
PDR,02/06/2021,56.57 
HPG,12/12/2022,18.60 
HPG,09/12/2022,19.20 
HPG,08/12/2022,18.90 
HPG,07/12/2022,18.25 
HPG,06/12/2022,18.60 
HPG,05/12/2022,20.00 
HPG,02/12/2022,19.45 
HPG,01/12/2022,18.20 
HPG,30/11/2022,18.40 
HPG,29/11/2022,17.40 
HPG,28/11/2022,16.35 
HPG,25/11/2022,15.30 
HPG,24/11/2022,14.35 
HPG,23/11/2022,13.80 
HPG,22/11/2022,14.80 
HPG,21/11/2022,14.95 
HPG,18/11/2022,15.10 
HPG,17/11/2022,14.25 
HPG,16/11/2022,13.35 
HPG,15/11/2022,12.50 
HPG,14/11/2022,12.20 
HPG,11/11/2022,12.30 
HPG,10/11/2022,12.10 
HPG,09/11/2022,13.00 
HPG,08/11/2022,13.15 
HPG,07/11/2022,13.70 
HPG,04/11/2022,14.65 
HPG,03/11/2022,15.20 
HPG,02/11/2022,15.35 
HPG,01/11/2022,15.00 
HPG,31/10/2022,15.65 
HPG,28/10/2022,16.80 
HPG,27/10/2022,17.40 
HPG,26/10/2022,16.90 
HPG,25/10/2022,17.10 
HPG,24/10/2022,16.40 
HPG,21/10/2022,16.90 
HPG,20/10/2022,18.10 
HPG,19/10/2022,18.40 
HPG,18/10/2022,18.85 
HPG,17/10/2022,19.25 
HPG,14/10/2022,19.45 
HPG,13/10/2022,19.50 
HPG,12/10/2022,18.70 
HPG,11/10/2022,17.50 
HPG,10/10/2022,18.35 
HPG,07/10/2022,17.60 
HPG,06/10/2022,18.00 
HPG,05/10/2022,19.20 
HPG,04/10/2022,18.85 
HPG,03/10/2022,19.75 
HPG,30/09/2022,21.20 
HPG,29/09/2022,21.65 
HPG,28/09/2022,21.80 
HPG,27/09/2022,22.40 
HPG,26/09/2022,22.40 
HPG,23/09/2022,22.70 
HPG,22/09/2022,23.00 
HPG,21/09/2022,22.90 
HPG,20/09/2022,23.00 
HPG,19/09/2022,22.65 
HPG,16/09/2022,23.00 
HPG,15/09/2022,23.60 
HPG,14/09/2022,23.70 
HPG,13/09/2022,23.70 
HPG,12/09/2022,23.80 
HPG,09/09/2022,23.80 
HPG,08/09/2022,23.10 
HPG,07/09/2022,23.00 
HPG,06/09/2022,23.55 
HPG,05/09/2022,23.90 
HPG,31/08/2022,23.00 
HPG,30/08/2022,23.05 
HPG,29/08/2022,23.00 
HPG,26/08/2022,23.50 
HPG,25/08/2022,23.85 
HPG,24/08/2022,23.50 
HPG,23/08/2022,23.65 
HPG,22/08/2022,23.35 
HPG,19/08/2022,23.75 
HPG,18/08/2022,24.15 
HPG,17/08/2022,24.30 
HPG,16/08/2022,24.55 
HPG,15/08/2022,24.00 
HPG,12/08/2022,23.95 
HPG,11/08/2022,23.40 
HPG,10/08/2022,23.80 
HPG,09/08/2022,24.10 
HPG,08/08/2022,23.60 
HPG,05/08/2022,23.30 
HPG,04/08/2022,23.65 
HPG,03/08/2022,23.75 
HPG,02/08/2022,22.90 
HPG,01/08/2022,22.80 
HPG,29/07/2022,21.50 
HPG,28/07/2022,21.40 
HPG,27/07/2022,21.25 
HPG,26/07/2022,21.65 
HPG,25/07/2022,21.90 
